,CHURN,AREA,VMAIL,VMAIL_MSGS,DAY_MINS,DAY_CALLS,DAY_CHARGE,EVE_MINS,EVE_CALLS,EVE_CHARGE,NIGHT_MINS,NIGHT_CALLS,NIGHT_CHARGE,INTL_MINS,INTL_CALLS,INTL_CHARGE,SVC_CALLS
0,0,415,1,0,246.5,108,41.91,216.3,89,18.39,179.6,99,8.08,12.7,3,3.43,2
1,1,408,1,0,298.1,112,50.68,201.3,100,17.11,214.7,88,9.66,9.7,4,2.62,2
2,0,510,1,0,119.3,82,20.28,185.1,111,15.73,157.0,74,7.07,10.9,4,2.94,2
3,0,408,1,0,242.5,82,41.23,232.9,97,19.8,154.0,86,6.93,9.6,7,2.59,0
4,1,408,0,18,222.1,89,37.76,160.6,109,13.65,218.8,102,9.85,13.6,2,3.67,0
5,1,408,1,0,236.2,135,40.15,273.9,88,23.28,227.0,77,10.22,10.1,6,2.73,2
6,0,510,1,0,144.2,87,24.51,212.2,74,18.04,169.3,87,7.62,9.5,4,2.57,0
7,0,408,0,19,154.6,100,26.28,241.6,109,20.54,160.0,112,7.2,12.6,1,3.4,3
8,0,415,0,25,137.4,100,23.36,176.7,83,15.02,188.2,93,8.47,10.2,6,2.75,2
9,0,415,1,0,103.7,93,17.63,127.0,107,10.8,329.3,66,14.82,14.4,1,3.89,0
10,1,415,1,0,136.6,112,23.22,209.4,81,17.8,161.1,78,7.25,12.2,2,3.29,4
11,1,408,1,0,289.8,101,49.27,255.6,115,21.73,242.8,76,10.93,11.7,4,3.16,2
12,0,408,1,0,260.9,85,44.35,168.5,103,14.32,178.3,91,8.02,13.3,5,3.59,3
13,1,510,1,0,196.2,129,33.35,176.5,86,15.0,232.4,108,10.46,15.2,1,4.1,0
14,0,510,1,0,195.6,71,33.25,126.4,74,10.74,148.6,87,6.69,14.2,4,3.83,1
15,0,415,1,0,222.2,96,37.77,162.5,111,13.81,184.9,120,8.32,11.9,7,3.21,4
16,1,510,1,0,172.9,119,29.39,183.0,86,15.56,226.4,100,10.19,9.8,1,2.65,0
17,1,408,1,0,249.8,109,42.47,242.4,106,20.6,231.8,78,10.43,11.6,4,3.13,0
18,0,510,1,0,154.5,84,26.27,216.2,91,18.38,229.8,82,10.34,13.7,3,3.7,1
19,0,510,1,0,90.4,108,15.37,276.2,77,23.48,146.5,111,6.59,12.7,2,3.43,1
20,0,510,0,27,268.8,78,45.7,246.6,89,20.96,271.9,102,12.24,16.4,3,4.43,0
21,0,408,1,0,106.1,95,18.04,157.6,113,13.4,192.5,69,8.66,8.1,3,2.19,1
22,0,415,1,0,27.0,117,4.59,160.9,97,13.68,279.5,96,12.58,10.7,3,2.89,3
23,0,415,0,27,140.1,59,23.82,223.4,111,18.99,257.9,73,11.61,3.8,10,1.03,1
24,0,510,1,0,245.0,112,41.65,180.4,91,15.33,262.9,105,11.83,9.7,6,2.62,1
